"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.9322a061-bde6-59d3-b59a-810fadf79e8c","1 ARTERIO +1 VENOUS FISTULA NEEDLES (PAIRED ARTERIO & VENOUS) 16G","","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","119.00","95.20"
"init.97fb6935-7430-5628-b10b-207eaa013b8a","ACID CONCENTRATE (HAEMOSAFE)","NL02CNS106","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","565.00","452.00"
"init.8c51cb61-44eb-50fd-b5fc-d4463e07a0ce","BI-CARBONATE POWDER (750G) CARTRIDGE","NL02CNS104","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","490.00","392.00"
"init.ea0cdaa3-31e7-55a1-98c1-50225760a445","CITRO PLUS 21% (CITRIC ACIDLACTIC ACIDMALIC ACID (CITROSTERILE)","NL02CNS105","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","5715.00","4572.00"
"init.7edda75c-2ef1-5a25-800d-5e4c7de9d7e5","DIALYZERS HIGH FLUX SURFACE AREA 1.8M2","NG05MSC026","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1550.00","1240.00"
"init.e85ae7b4-c04d-5fba-a467-cb287cb196a0","DIALYZERS HIGH FLUX SURFACE AREA 1.9M2","NG05MSC027","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1650.00","1320.00"
"init.bc4b6f3e-87ff-5b7e-a591-fe5e91232858","DIALYZERS HIGH FLUX SURFACE AREA 2.0M2","NG05MSC028","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1650.00","1320.00"
"init.e4943f4b-5ed2-55b3-9e8a-177d0575df72","HAEMODIALYSIS TUBING (BLOOD LINE) UNIVERSAL WITH BAG PERCUTOR ART. & VEN. WITH FILTER TRANSDUCER INFUSION & RECIRCULATOR - ADULT","NM05TUB064","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","550.00","440.00"
"init.fdef69a3-0972-503f-abbf-4c86902073b6","LONG TERM /CHRONIC DIAYSIS DUAL LUMEN CATHETER 14.5 *24(19 TIP TO CUFF) TOTAL LENGTH 36","","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20000.00","16000.00"
"init.876d62d6-32d7-5ed9-97f0-05ab3456d80b","LONG TERM /CHRONIC DIAYSIS DUAL LUMEN CATHETER 14.5 *28(23 TIP TO CUFF) TOTAL LENGTH 40CM","NM05CAT023","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20000.00","16000.00"
"init.734b86bb-8621-5354-915a-893b0ff312ee","PRIMAPORE- SKIN ADHENSIVE FOR RENAL CATHETER SIZE 25'' X 10'' (SMITH & NEPHEW","NG05MSC019","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","150.00","120.00"
"init.81286931-ac58-546f-bd4d-8efcef5aa9ae","SUB CLAVIAN CATHETER FOR DIALYSIS- 12.0F X 20CM (ACUTE DUAL LUMEN)","NM05CAT002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4500.00","3600.00"
